cond,utt_id,speaker,wer,sub,del,ins,cer,hyp
real,1089-134686-0033,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.088235294117647,"A great saint, St. Francis Xavier."
f5tts,1089-134686-0033,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.088235294117647,"A great Saint, Saint Francis Saviour."
xtts,1089-134686-0033,1089,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1470588235294117,"a great saint, Saint Francis Xavier Dopt."
chatterbox,1089-134686-0033,1089,0.0,0.0,0.0,0.0,0.0,"A great saint, Saint Francis Xavier,"
indextts,1089-134686-0033,1089,0.0,0.0,0.0,0.0,0.0,"A great Saint, Saint Francis Xavier."
cosyvoice3,1089-134686-0033,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.088235294117647,"A great saint, St. Francis Xavier,"
real,1089-134691-0020,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0263157894736842,"Hello, Stephanos. Here comes the Daedalus."
f5tts,1089-134691-0020,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0263157894736842,"Hello, Stephanos, here comes the Daedalus."
xtts,1089-134691-0020,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0263157894736842,"Hello.  Stephanos, here comes the Daedalus."
chatterbox,1089-134691-0020,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0263157894736842,"Hello, Stephanos. Here comes the Daedalus."
indextts,1089-134691-0020,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0263157894736842,"Hello, Stephanos. Here comes the Daedalus."
cosyvoice3,1089-134691-0020,1089,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0263157894736842,"Hello, Stephanos. Here comes the Daedalus."
real,1089-134686-0016,1089,0.1,0.1,0.0,0.0,0.0181818181818181,"Then you can ask him questions on the catechism, Daedalus."
f5tts,1089-134686-0016,1089,0.1,0.1,0.0,0.0,0.0181818181818181,Then you can ask him questions on the Catechism Daedalus.
xtts,1089-134686-0016,1089,0.1,0.1,0.0,0.0,0.0181818181818181,Then you can ask him questions on the Catechism Daedalus.
chatterbox,1089-134686-0016,1089,0.1,0.1,0.0,0.0,0.0181818181818181,Then you can ask him questions on the Catechism Daedalus.
indextts,1089-134686-0016,1089,0.1,0.1,0.0,0.0,0.0181818181818181,Then you can ask him questions on the Catechism Daedalus.
cosyvoice3,1089-134686-0016,1089,0.1,0.1,0.0,0.0,0.0181818181818181,Then you can ask him questions on the Catechism Daedalus.
real,1089-134691-0001,1089,0.0,0.0,0.0,0.0,0.0,"For a full hour he had paced up and down, waiting, but he could wait no longer."
f5tts,1089-134691-0001,1089,0.0,0.0,0.0,0.0,0.0,"For a full hour he had paced up and down waiting, but he could wait no longer."
xtts,1089-134691-0001,1089,0.0,0.0,0.0,0.0,0.0,"For a full hour he had paced up and down waiting, but he could wait no longer."
chatterbox,1089-134691-0001,1089,0.0,0.0,0.0,0.0,0.0,"For a full hour he had paced up and down waiting, but he could wait no longer."
indextts,1089-134691-0001,1089,0.0,0.0,0.0,0.0,0.0,"For a full hour he had paced up and down, waiting, but he could wait no longer."
cosyvoice3,1089-134691-0001,1089,0.0,0.0,0.0,0.0,0.0,"For a full hour he had paced up and down waiting, but he could wait no longer."
real,1089-134691-0004,1089,0.0,0.0,0.0,0.0,0.0,"Pride, after satisfaction, uplifted him like long, slow waves."
f5tts,1089-134691-0004,1089,0.0,0.0,0.0,0.0,0.0,"Pride after satisfaction uplifted him like long, slow waves."
xtts,1089-134691-0004,1089,0.0,0.0,0.0,0.0,0.0,"Pride after satisfaction uplifted him like long, slow waves."
chatterbox,1089-134691-0004,1089,0.0,0.0,0.0,0.0,0.0,"Pride after satisfaction uplifted him like long, slow waves."
